Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
94,WEM0401062,WEM3,1,10,10,397.806,,,0.708045536,0.708154322,6.33E-05,0.00012669,4.507895767,40,10,25,77,9/6/2022,11:40 PM
95,WEM0401062,WEM3,1,11,11,446.285,,,0.707960222,0.708068994,4.76E-05,9.52E-05,3.498365391,40,10,25,77,9/6/2022,11:40 PM
96,WEM0401062,WEM3,1,12,12,497.031,,,0.708159295,0.708268098,4.70E-05,9.40E-05,3.189694951,40,10,25,77,9/6/2022,11:40 PM
97,WEM0401062,WEM3,1,13,13,541.433,,,0.707893849,0.708002611,8.67E-05,0.000173457,3.406103728,40,10,25,77,9/6/2022,11:40 PM
98,WEM0401062,WEM3,1,14,14,595.349,,,0.707943615,0.708052385,7.76E-05,0.000155269,3.075311281,40,10,25,77,9/6/2022,11:40 PM
99,WEM0401062,WEM3,1,15,15,647.454,,,0.707938377,0.708047147,7.30E-05,0.000145926,2.844508562,40,10,25,77,9/6/2022,11:40 PM
100,WEM0401062,WEM3,1,16,16,685.059,,,0.708057406,0.708166194,9.91E-05,0.000198139,2.616509784,40,10,25,77,9/6/2022,11:40 PM
101,WEM0401062,WEM3,1,17,17,729.008,,,0.707835416,0.70794417,9.94E-05,0.000198833,2.795278223,40,10,25,77,9/6/2022,11:40 PM
102,WEM0401062,WEM3,1,18,18,768.879,age 1,,0.707777912,0.707886656,7.24E-05,0.000144757,2.859876041,40,10,25,77,9/6/2022,11:40 PM
103,WEM0401062,WEM3,1,19,19,803.314,,,0.707812072,0.707920822,5.26E-05,0.000105123,2.740119766,40,10,25,77,9/6/2022,11:40 PM
104,WEM0401062,WEM3,1,20,20,839.56,,,0.707789319,0.707898065,0.00010326,0.00020652,2.753679175,40,10,25,77,9/6/2022,11:40 PM
105,WEM0401062,WEM3,1,21,21,878.525,,,0.707877383,0.707986143,4.81E-05,9.61E-05,2.840420942,40,10,25,77,9/6/2022,11:40 PM
106,WEM0401062,WEM3,1,22,22,919.303,,,0.707800801,0.707909549,8.24E-05,0.000164776,2.514968137,40,10,25,77,9/6/2022,11:40 PM
107,WEM0401062,WEM3,1,23,23,949.206,,,0.707847877,0.707956633,5.67E-05,0.000113352,2.894623834,40,10,25,77,9/6/2022,11:40 PM
108,WEM0401062,WEM3,1,24,24,987.718,,,0.707978239,0.708087015,7.28E-05,0.000145571,2.875428314,40,10,25,77,9/6/2022,11:40 PM
109,WEM0401062,WEM3,1,25,25,1020.34,,,0.707887612,0.707996374,0.000113186,0.000226372,2.669749141,40,10,25,77,9/6/2022,11:40 PM
110,WEM0401062,WEM3,1,26,26,1052.962,,,0.707985667,0.708094444,5.37E-05,0.000107342,2.383145318,40,10,25,77,9/6/2022,11:40 PM
